LOCATION,FG_PCT_AWAY,FG_PCT_HOME,FG_PCT_NEUTRAL,FG3_PCT_AWAY,FG3_PCT_HOME,FG3_PCT_NEUTRAL,FT_PCT_AWAY,FT_PCT_HOME,FT_PCT_NEUTRAL,PTS_AWAY,PTS_HOME,PTS_NEUTRAL,PLUS_MINUS_AWAY,PLUS_MINUS_HOME,PLUS_MINUS_NEUTRAL
FG_PCT_AWAY,1.0,0.821138576560497,0.09184674278852686,0.7061840008655789,0.639863300821464,0.31465378153769796,0.1293729760323019,0.2461918209745006,0.1871050128287141,0.6314761137234144,0.5808384693303762,0.029918028846831753,0.5111072416080025,0.5985539916288329,0.5356450628417688
FG_PCT_HOME,0.821138576560497,1.0,0.5554997025492029,0.606180987580007,0.8535177527430816,0.6273247988033182,0.1819563724490801,0.31813038672132327,0.48887880227082825,0.6049883659118593,0.721825779750802,0.4051938253082299,0.5446703011725532,0.7106603670273032,0.8572679160993391
FG_PCT_NEUTRAL,0.09184674278852686,0.5554997025492029,1.0,-0.28002995463811475,0.3782288558337702,0.5940335427696016,0.3082995746981664,0.2630469572346217,0.6163110703753637,-0.05837185421250771,0.38293689072289433,0.8235682520207843,-0.14038199904093132,0.02964598793781774,0.2880129328755142
FG3_PCT_AWAY,0.7061840008655789,0.606180987580007,-0.28002995463811475,1.0,0.611248857881196,0.02674954525782836,0.22669170081120074,0.2668847494917586,-0.13643286489288237,0.6141387290188333,0.5210199220301546,-0.45293382319280484,0.5545740728049549,0.5160993482033766,0.40093990225652043
FG3_PCT_HOME,0.639863300821464,0.8535177527430816,0.3782288558337702,0.611248857881196,1.0,0.49578235724172814,0.1475730575730008,0.30752088531069793,0.357541945097577,0.4516193852751942,0.7225665561079362,0.18781754778231222,0.5341451131032099,0.6804302343959789,0.9211616899470843
FG3_PCT_NEUTRAL,0.31465378153769796,0.6273247988033182,0.5940335427696016,0.02674954525782836,0.49578235724172814,1.0,0.3779496885776744,0.2918296555875391,0.31146019872806596,0.4937997377875282,0.6475647123788925,0.4609908992918674,0.30151891103321643,0.31716185773027933,0.5429802641387874
FT_PCT_AWAY,0.1293729760323019,0.1819563724490801,0.3082995746981664,0.22669170081120074,0.1475730575730008,0.3779496885776744,1.0,0.5456469020228121,0.7948475742420643,0.22453775761574146,0.15538568574803358,0.21866435668140272,0.26584994073580537,0.14088004666696252,0.4994273292689066
FT_PCT_HOME,0.2461918209745006,0.31813038672132327,0.2630469572346217,0.2668847494917586,0.30752088531069793,0.2918296555875391,0.5456469020228121,1.0,0.7820768626157515,0.282703598502278,0.2005916123392181,-0.04050970263069302,0.1926505797931767,0.25325478660446166,0.45398381716177527
FT_PCT_NEUTRAL,0.1871050128287141,0.48887880227082825,0.6163110703753637,-0.13643286489288237,0.357541945097577,0.31146019872806596,0.7948475742420643,0.7820768626157515,1.0,0.2875724772679711,0.502380539442472,0.5028075051954256,0.2752605694343865,0.3798524555211351,0.51336599445805
PTS_AWAY,0.6314761137234144,0.6049883659118593,-0.05837185421250771,0.6141387290188333,0.4516193852751942,0.4937997377875282,0.22453775761574146,0.282703598502278,0.2875724772679711,1.0,0.7742952769829562,-0.09566822221277008,0.6272117659036515,0.6179021599911415,0.45313385345183055
PTS_HOME,0.5808384693303762,0.721825779750802,0.38293689072289433,0.5210199220301546,0.7225665561079362,0.6475647123788925,0.15538568574803358,0.2005916123392181,0.502380539442472,0.7742952769829562,1.0,0.08589217567499101,0.6523826420595199,0.644410480224391,0.735158572061973
PTS_NEUTRAL,0.029918028846831753,0.4051938253082299,0.8235682520207843,-0.45293382319280484,0.18781754778231222,0.4609908992918674,0.21866435668140272,-0.04050970263069302,0.5028075051954256,-0.09566822221277008,0.08589217567499101,1.0,-0.14124072801950024,0.011501826794280644,0.11552862569153537
PLUS_MINUS_AWAY,0.5111072416080025,0.5446703011725532,-0.14038199904093132,0.5545740728049549,0.5341451131032099,0.30151891103321643,0.26584994073580537,0.1926505797931767,0.2752605694343865,0.6272117659036515,0.6523826420595199,-0.14124072801950024,1.0,0.8628495358881182,0.5359248784940497
PLUS_MINUS_HOME,0.5985539916288329,0.7106603670273032,0.02964598793781774,0.5160993482033766,0.6804302343959789,0.31716185773027933,0.14088004666696252,0.25325478660446166,0.3798524555211351,0.6179021599911415,0.644410480224391,0.011501826794280644,0.8628495358881182,1.0,0.669065322742841
PLUS_MINUS_NEUTRAL,0.5356450628417688,0.8572679160993391,0.2880129328755142,0.40093990225652043,0.9211616899470843,0.5429802641387874,0.4994273292689066,0.45398381716177527,0.51336599445805,0.45313385345183055,0.735158572061973,0.11552862569153537,0.5359248784940497,0.669065322742841,1.0
